Feb 13 2016 01: +0,4.846,1857
Feb 14 2016 01: +0,4.876,1830
Feb 15 2016 01: +0,4.919,1535
Feb 16 2016 01: +0,5.016,1705
Feb 17 2016 01: +0,5.151,1146
Feb 18 2016 01: +0,5.079,2205
Feb 19 2016 01: +0,5.113,1600
Feb 20 2016 01: +0,5.184,2271
Feb 21 2016 01: +0,5.249,1639
Feb 22 2016 01: +0,5.238,1411
Feb 23 2016 01: +0,5.467,2552
Feb 24 2016 01: +0,5.604,2251
Feb 25 2016 01: +0,5.67,2000
Feb 26 2016 01: +0,5.71,1603
Feb 27 2016 01: +0,5.679,1725
Feb 28 2016 01: +0,5.734,1728
Feb 29 2016 01: +0,5.762,1363
Mar 01 2016 01: +0,5.76,1200
Mar 02 2016 01: +0,5.761,1307
Mar 03 2016 01: +0,5.731,1309
Mar 04 2016 01: +0,5.985,1621
Mar 05 2016 01: +0,5.683,1298
Mar 06 2016 01: +0,5.62,1639
Mar 07 2016 01: +0,5.504,1404
Mar 08 2016 01: +0,5.464,1440
Mar 09 2016 01: +0,5.516,1200
Mar 10 2016 01: +0,5.859,1344
Mar 11 2016 01: +0,5.69,1286
Mar 12 2016 01: +0,5.814,1439
Mar 13 2016 01: +0,5.891,1267
Mar 14 2016 01: +0,5.874,1594
Mar 15 2016 01: +0,5.88,1378
Mar 16 2016 01: +0,5.936,1322
Mar 17 2016 01: +0,6.05,1336
Mar 18 2016 01: +0,6.464,1317
Mar 19 2016 01: +0,6.265,1030
Mar 20 2016 01: +0,6.261,1167
Mar 21 2016 01: +0,6.258,1084
Mar 22 2016 01: +0,6.399,1259
Mar 23 2016 01: +0,6.529,955
Mar 24 2016 01: +0,6.57,1160
Mar 25 2016 01: +0,6.477,1038
Mar 26 2016 01: +0,6.558,1165
Mar 27 2016 01: +0,6.465,851
Mar 28 2016 01: +0,6.443,991
Mar 29 2016 01: +0,6.483,1035
Mar 30 2016 01: +0,6.438,976
Mar 31 2016 01: +0,6.439,1074
Apr 01 2016 01: +0,6.718,1553
Apr 02 2016 01: +0,6.683,1196
Apr 03 2016 01: +0,6.824,1976
Apr 04 2016 01: +0,6.365,1433
Apr 05 2016 01: +0,6.313,1140
Apr 06 2016 01: +0,6.861,2035
Apr 07 2016 01: +0,6.469,826
Apr 08 2016 01: +0,6.513,962
Apr 09 2016 01: +0,6.552,848
Apr 10 2016 01: +0,6.588,1428
Apr 11 2016 01: +0,6.609,960
Apr 12 2016 01: +0,6.736,999
Apr 13 2016 01: +0,6.8,966
Apr 14 2016 01: +0,6.887,1484
Apr 15 2016 01: +0,6.985,874
Apr 16 2016 01: +0,6.924,1178
Apr 17 2016 01: +0,7.239,1366
Apr 18 2016 01: +0,7.029,900
Apr 19 2016 01: +0,7.049,800
Apr 20 2016 01: +0,7.252,1021
Apr 21 2016 01: +0,7.292,891
Apr 22 2016 01: +0,7.367,861
Apr 23 2016 01: +0,7.528,966
Apr 24 2016 01: +0,7.507,1194
Apr 25 2016 01: +0,7.468,1118
Apr 26 2016 01: +0,7.777,1091
Apr 27 2016 01: +0,7.568,1497
Apr 28 2016 01: +0,7.689,802
Apr 29 2016 01: +0,7.88,1299
Apr 30 2016 01: +0,7.587,1382
May 01 2016 01: +0,7.724,910
May 02 2016 01: +0,7.722,800
May 03 2016 01: +0,7.707,843
May 04 2016 01: +0,7.862,709
May 05 2016 01: +0,7.674,837
May 06 2016 01: +0,7.652,887
May 07 2016 01: +0,7.875,1062
May 08 2016 01: +0,7.596,778
May 09 2016 01: +0,7.621,737
May 10 2016 01: +0,7.64,882
May 11 2016 01: +0,7.64,863
May 12 2016 01: +0,7.697,812
May 13 2016 01: +0,7.853,777
May 14 2016 01: +0,7.719,970
May 15 2016 01: +0,7.71,864
May 16 2016 01: +0,7.721,798
May 17 2016 01: +0,7.669,947
May 18 2016 01: +0,8.009,855
May 19 2016 01: +0,7.574,953
May 20 2016 01: +0,7.433,562
May 21 2016 01: +0,7.456,960
May 22 2016 01: +0,7.42,775
May 23 2016 01: +0,7.368,1049
May 24 2016 01: +0,8.216,726
May 25 2016 01: +0,7.405,891
May 26 2016 01: +0,7.342,880
May 27 2016 01: +0,7.265,658
May 28 2016 01: +0,7.261,635
May 29 2016 01: +0,7.241,981
May 30 2016 01: +0,8.004,777
May 31 2016 01: +0,7.286,638
Jun 01 2016 01: +0,7.434,721
Jun 02 2016 01: +0,7.319,989
Jun 03 2016 01: +0,7.591,964
Jun 04 2016 01: +0,7.248,921
Jun 05 2016 01: +0,7.223,1099
Jun 06 2016 01: +0,7.254,718
Jun 07 2016 01: +0,7.264,716
Jun 08 2016 01: +0,7.354,901
Jun 09 2016 01: +0,7.309,795
Jun 10 2016 01: +0,7.162,1224
Jun 11 2016 01: +0,7.088,1078
Jun 12 2016 01: +0,7.144,1014
Jun 13 2016 01: +0,7.27,841
Jun 14 2016 01: +0,7.029,874
Jun 15 2016 01: +0,7,880
Jun 16 2016 01: +0,7.005,955
Jun 17 2016 01: +0,6.957,885
Jun 18 2016 01: +0,6.903,1075
Jun 19 2016 01: +0,6.949,1305
